classifier,condition,display_condition,accuracy,baseline_accuracy,accuracy_drop
RandomForest,original,Original,0.9888,0.9888,0.0
RandomForest,gaussian_noise,Gaussian Noise,0.9888,0.9888,0.0
RandomForest,jpeg_compression,JPEG Compression,0.9888,0.9888,0.0
RandomForest,downsample_dpi,DPI Downsample,0.8324,0.9888,0.1564
RandomForest,random_crop,Random Crop,0.581,0.9888,0.4078
RandomForest,reduce_bit_depth,Bit-Depth Reduction,0.9888,0.9888,0.0
SGD,original,Original,0.9944,0.9944,0.0
SGD,gaussian_noise,Gaussian Noise,0.9944,0.9944,0.0
SGD,jpeg_compression,JPEG Compression,0.9944,0.9944,0.0
SGD,downsample_dpi,DPI Downsample,0.9665,0.9944,0.0279
SGD,random_crop,Random Crop,0.5922,0.9944,0.4022
SGD,reduce_bit_depth,Bit-Depth Reduction,0.7709,0.9944,0.2235
SVM,original,Original,0.9721,0.9721,0.0
SVM,gaussian_noise,Gaussian Noise,0.9665,0.9721,0.0056
SVM,jpeg_compression,JPEG Compression,0.9721,0.9721,0.0
SVM,downsample_dpi,DPI Downsample,0.5531,0.9721,0.419
SVM,random_crop,Random Crop,0.5531,0.9721,0.419
SVM,reduce_bit_depth,Bit-Depth Reduction,0.9665,0.9721,0.0056
XGBoost,original,Original,1.0,1.0,0.0
XGBoost,gaussian_noise,Gaussian Noise,0.9721,1.0,0.0279
XGBoost,jpeg_compression,JPEG Compression,0.9888,1.0,0.0112
XGBoost,downsample_dpi,DPI Downsample,0.7207,1.0,0.2793
XGBoost,random_crop,Random Crop,0.4749,1.0,0.5251
XGBoost,reduce_bit_depth,Bit-Depth Reduction,0.9832,1.0,0.0168
